"continent","country","year","pop","lifeExp","gdpPercap"
"Europe","Belgium",1992,10045622,76.46,25575.57069
"Europe","Belgium",1997,10199787,77.53,27561.19663
"Europe","Belgium",2002,10311970,78.32,30485.88375
"Europe","Belgium",2007,10392226,79.441,33692.60508
"Africa","Benin",1992,4981671,53.919,1191.207681
"Africa","Benin",1997,6066080,54.777,1232.975292
"Africa","Benin",2002,7026113,54.406,1372.877931
"Africa","Benin",2007,8078314,56.728,1441.284873
"Americas","Bolivia",1992,6893451,59.957,2961.699694
"Americas","Bolivia",1997,7693188,62.05,3326.143191
"Americas","Bolivia",2002,8445134,63.883,3413.26269
"Americas","Bolivia",2007,9119152,65.554,3822.137084
"Europe","Bosnia and Herzegovina",1992,4256013,72.178,2546.781445
"Europe","Bosnia and Herzegovina",1997,3607000,73.244,4766.355904
"Europe","Bosnia and Herzegovina",2002,4165416,74.09,6018.975239
"Europe","Bosnia and Herzegovina",2007,4552198,74.852,7446.298803
"Africa","Botswana",1992,1342614,62.745,7954.111645
"Africa","Botswana",1997,1536536,52.556,8647.142313
"Africa","Botswana",2002,1630347,46.634,11003.60508
"Africa","Botswana",2007,1639131,50.728,12569.85177
"Americas","Brazil",1992,155975974,67.057,6950.283021
"Americas","Brazil",1997,168546719,69.388,7957.980824
"Americas","Brazil",2002,179914212,71.006,8131.212843
"Americas","Brazil",2007,190010647,72.39,9065.800825
"Europe","Bulgaria",1992,8658506,71.19,6302.623438
"Europe","Bulgaria",1997,8066057,70.32,5970.38876
"Europe","Bulgaria",2002,7661799,72.14,7696.777725
"Europe","Bulgaria",2007,7322858,73.005,10680.79282
"Africa","Burkina Faso",1992,8878303,50.26,931.7527731
"Africa","Burkina Faso",1997,10352843,50.324,946.2949618
"Africa","Burkina Faso",2002,12251209,50.65,1037.645221
"Africa","Burkina Faso",2007,14326203,52.295,1217.032994
"Africa","Burundi",1992,5809236,44.736,631.6998778
"Africa","Burundi",1997,6121610,45.326,463.1151478
"Africa","Burundi",2002,7021078,47.36,446.4035126
"Africa","Burundi",2007,8390505,49.58,430.0706916
"Asia","Cambodia",1992,10150094,55.803,682.3031755
"Asia","Cambodia",1997,11782962,56.534,734.28517
"Asia","Cambodia",2002,12926707,56.752,896.2260153
"Asia","Cambodia",2007,14131858,59.723,1713.778686
"Africa","Cameroon",1992,12467171,54.314,1793.163278
"Africa","Cameroon",1997,14195809,52.199,1694.337469
"Africa","Cameroon",2002,15929988,49.856,1934.011449
"Africa","Cameroon",2007,17696293,50.43,2042.09524
"Americas","Canada",1992,28523502,77.95,26342.88426
"Americas","Canada",1997,30305843,78.61,28954.92589
"Americas","Canada",2002,31902268,79.77,33328.96507
"Americas","Canada",2007,33390141,80.653,36319.23501
"Africa","Central African Republic",1992,3265124,49.396,747.9055252
"Africa","Central African Republic",1997,3696513,46.066,740.5063317
"Africa","Central African Republic",2002,4048013,43.308,738.6906068
"Africa","Central African Republic",2007,4369038,44.741,706.016537
"Africa","Chad",1992,6429417,51.724,1058.0643
"Africa","Chad",1997,7562011,51.573,1004.961353
"Africa","Chad",2002,8835739,50.525,1156.18186
"Africa","Chad",2007,10238807,50.651,1704.063724
"Americas","Chile",1992,13572994,74.126,7596.125964
"Americas","Chile",1997,14599929,75.816,10118.05318
"Americas","Chile",2002,15497046,77.86,10778.78385
"Americas","Chile",2007,16284741,78.553,13171.63885
"Asia","China",1992,1164970000,68.69,1655.784158
"Asia","China",1997,1230075000,70.426,2289.234136
"Asia","China",2002,1280400000,72.028,3119.280896
"Asia","China",2007,1318683096,72.961,4959.114854
"Americas","Colombia",1992,34202721,68.421,5444.648617
"Americas","Colombia",1997,37657830,70.313,6117.361746
"Americas","Colombia",2002,41008227,71.682,5755.259962
"Americas","Colombia",2007,44227550,72.889,7006.580419
"Africa","Comoros",1992,454429,57.939,1246.90737
"Africa","Comoros",1997,527982,60.66,1173.618235
"Africa","Comoros",2002,614382,62.974,1075.811558
"Africa","Comoros",2007,710960,65.152,986.1478792
"Africa","Congo, Dem. Rep.",1992,41672143,45.548,457.7191807
"Africa","Congo, Dem. Rep.",1997,47798986,42.587,312.188423
"Africa","Congo, Dem. Rep.",2002,55379852,44.966,241.1658765
"Africa","Congo, Dem. Rep.",2007,64606759,46.462,277.5518587
"Africa","Congo, Rep.",1992,2409073,56.433,4016.239529
"Africa","Congo, Rep.",1997,2800947,52.962,3484.164376
"Africa","Congo, Rep.",2002,3328795,52.97,3484.06197
"Africa","Congo, Rep.",2007,3800610,55.322,3632.557798
"Americas","Costa Rica",1992,3173216,75.713,6160.416317
"Americas","Costa Rica",1997,3518107,77.26,6677.045314
"Americas","Costa Rica",2002,3834934,78.123,7723.447195
"Americas","Costa Rica",2007,4133884,78.782,9645.06142
"Africa","Cote d'Ivoire",1992,12772596,52.044,1648.073791
"Africa","Cote d'Ivoire",1997,14625967,47.991,1786.265407
"Africa","Cote d'Ivoire",2002,16252726,46.832,1648.800823
"Africa","Cote d'Ivoire",2007,18013409,48.328,1544.750112
"Europe","Croatia",1992,4494013,72.527,8447.794873
"Europe","Croatia",1997,4444595,73.68,9875.604515
"Europe","Croatia",2002,4481020,74.876,11628.38895
"Europe","Croatia",2007,4493312,75.748,14619.22272
"Americas","Cuba",1992,10723260,74.414,5592.843963
"Americas","Cuba",1997,10983007,76.151,5431.990415
"Americas","Cuba",2002,11226999,77.158,6340.646683
"Americas","Cuba",2007,11416987,78.273,8948.102923
"Europe","Czech Republic",1992,10315702,72.4,14297.02122
"Europe","Czech Republic",1997,10300707,74.01,16048.51424
"Europe","Czech Republic",2002,10256295,75.51,17596.21022
"Europe","Czech Republic",2007,10228744,76.486,22833.30851
"Europe","Denmark",1992,5171393,75.33,26406.73985
"Europe","Denmark",1997,5283663,76.11,29804.34567
"Europe","Denmark",2002,5374693,77.18,32166.50006
"Europe","Denmark",2007,5468120,78.332,35278.41874
"Africa","Djibouti",1992,384156,51.604,2377.156192
"Africa","Djibouti",1997,417908,53.157,1895.016984
"Africa","Djibouti",2002,447416,53.373,1908.260867
"Africa","Djibouti",2007,496374,54.791,2082.481567
"Americas","Dominican Republic",1992,7351181,68.457,3044.214214
"Americas","Dominican Republic",1997,7992357,69.957,3614.101285
"Americas","Dominican Republic",2002,8650322,70.847,4563.808154
"Americas","Dominican Republic",2007,9319622,72.235,6025.374752
"Americas","Ecuador",1992,10748394,69.613,7103.702595
"Americas","Ecuador",1997,11911819,72.312,7429.455877
"Americas","Ecuador",2002,12921234,74.173,5773.044512
"Americas","Ecuador",2007,13755680,74.994,6873.262326
"Africa","Egypt",1992,59402198,63.674,3794.755195
"Africa","Egypt",1997,66134291,67.217,4173.181797
"Africa","Egypt",2002,73312559,69.806,4754.604414
"Africa","Egypt",2007,80264543,71.338,5581.180998
"Americas","El Salvador",1992,5274649,66.798,4444.2317
"Americas","El Salvador",1997,5783439,69.535,5154.825496
"Americas","El Salvador",2002,6353681,70.734,5351.568666
"Americas","El Salvador",2007,6939688,71.878,5728.353514
"Africa","Equatorial Guinea",1992,387838,47.545,1132.055034
"Africa","Equatorial Guinea",1997,439971,48.245,2814.480755
"Africa","Equatorial Guinea",2002,495627,49.348,7703.4959
"Africa","Equatorial Guinea",2007,551201,51.579,12154.08975
"Africa","Eritrea",1992,3668440,49.991,582.8585102
"Africa","Eritrea",1997,4058319,53.378,913.47079
"Africa","Eritrea",2002,4414865,55.24,765.3500015
"Africa","Eritrea",2007,4906585,58.04,641.3695236
"Africa","Ethiopia",1992,52088559,48.091,421.3534653
"Africa","Ethiopia",1997,59861301,49.402,515.8894013
"Africa","Ethiopia",2002,67946797,50.725,530.0535319
"Africa","Ethiopia",2007,76511887,52.947,690.8055759
"Europe","Finland",1992,5041039,75.7,20647.16499
"Europe","Finland",1997,5134406,77.13,23723.9502
"Europe","Finland",2002,5193039,78.37,28204.59057
"Europe","Finland",2007,5238460,79.313,33207.0844
"Europe","France",1992,57374179,77.46,24703.79615
"Europe","France",1997,58623428,78.64,25889.78487
"Europe","France",2002,59925035,79.59,28926.03234
"Europe","France",2007,61083916,80.657,30470.0167
"Africa","Gabon",1992,985739,61.366,13522.15752
"Africa","Gabon",1997,1126189,60.461,14722.84188
"Africa","Gabon",2002,1299304,56.761,12521.71392
"Africa","Gabon",2007,1454867,56.735,13206.48452
"Africa","Gambia",1992,1025384,52.644,665.6244126
"Africa","Gambia",1997,1235767,55.861,653.7301704
"Africa","Gambia",2002,1457766,58.041,660.5855997
"Africa","Gambia",2007,1688359,59.448,752.7497265
"Europe","Germany",1992,80597764,76.07,26505.30317
"Europe","Germany",1997,82011073,77.34,27788.88416
"Europe","Germany",2002,82350671,78.67,30035.80198
"Europe","Germany",2007,82400996,79.406,32170.37442
"Africa","Ghana",1992,16278738,57.501,925.060154
"Africa","Ghana",1997,18418288,58.556,1005.245812
"Africa","Ghana",2002,20550751,58.453,1111.984578
"Africa","Ghana",2007,22873338,60.022,1327.60891
"Europe","Greece",1992,10325429,77.03,17541.49634
"Europe","Greece",1997,10502372,77.869,18747.69814
"Europe","Greece",2002,10603863,78.256,22514.2548
"Europe","Greece",2007,10706290,79.483,27538.41188
"Americas","Guatemala",1992,8486949,63.373,4439.45084
"Americas","Guatemala",1997,9803875,66.322,4684.313807
"Americas","Guatemala",2002,11178650,68.978,4858.347495
"Americas","Guatemala",2007,12572928,70.259,5186.050003
"Africa","Guinea",1992,6990574,48.576,794.3484384
"Africa","Guinea",1997,8048834,51.455,869.4497668
"Africa","Guinea",2002,8807818,53.676,945.5835837
"Africa","Guinea",2007,9947814,56.007,942.6542111
"Africa","Guinea-Bissau",1992,1050938,43.266,745.5398706
"Africa","Guinea-Bissau",1997,1193708,44.873,796.6644681
"Africa","Guinea-Bissau",2002,1332459,45.504,575.7047176
"Africa","Guinea-Bissau",2007,1472041,46.388,579.231743
"Americas","Haiti",1992,6326682,55.089,1456.309517
"Americas","Haiti",1997,6913545,56.671,1341.726931
"Americas","Haiti",2002,7607651,58.137,1270.364932
"Americas","Haiti",2007,8502814,60.916,1201.637154
"Americas","Honduras",1992,5077347,66.399,3081.694603
"Americas","Honduras",1997,5867957,67.659,3160.454906
"Americas","Honduras",2002,6677328,68.565,3099.72866
"Americas","Honduras",2007,7483763,70.198,3548.330846
"Asia","Hong Kong, China",1992,5829696,77.601,24757.60301
"Asia","Hong Kong, China",1997,6495918,80,28377.63219
"Asia","Hong Kong, China",2002,6762476,81.495,30209.01516
"Asia","Hong Kong, China",2007,6980412,82.208,39724.97867
"Europe","Hungary",1992,10348684,69.17,10535.62855
"Europe","Hungary",1997,10244684,71.04,11712.7768
"Europe","Hungary",2002,10083313,72.59,14843.93556
"Europe","Hungary",2007,9956108,73.338,18008.94444
"Europe","Iceland",1992,259012,78.77,25144.39201
"Europe","Iceland",1997,271192,78.95,28061.09966
"Europe","Iceland",2002,288030,80.5,31163.20196
"Europe","Iceland",2007,301931,81.757,36180.78919
"Asia","India",1992,8.72e+08,60.223,1164.406809
"Asia","India",1997,9.59e+08,61.765,1458.817442
"Asia","India",2002,1034172547,62.879,1746.769454
"Asia","India",2007,1110396331,64.698,2452.210407
"Asia","Indonesia",1992,184816000,62.681,2383.140898
"Asia","Indonesia",1997,199278000,66.041,3119.335603
"Asia","Indonesia",2002,211060000,68.588,2873.91287
"Asia","Indonesia",2007,223547000,70.65,3540.651564
"Asia","Iran",1992,60397973,65.742,7235.653188
"Asia","Iran",1997,63327987,68.042,8263.590301
"Asia","Iran",2002,66907826,69.451,9240.761975
"Asia","Iran",2007,69453570,70.964,11605.71449
"Asia","Iraq",1992,17861905,59.461,3745.640687
"Asia","Iraq",1997,20775703,58.811,3076.239795
"Asia","Iraq",2002,24001816,57.046,4390.717312
"Asia","Iraq",2007,27499638,59.545,4471.061906
"Europe","Ireland",1992,3557761,75.467,17558.81555
"Europe","Ireland",1997,3667233,76.122,24521.94713
"Europe","Ireland",2002,3879155,77.783,34077.04939
"Europe","Ireland",2007,4109086,78.885,40675.99635
"Asia","Israel",1992,4936550,76.93,18051.52254
"Asia","Israel",1997,5531387,78.269,20896.60924
"Asia","Israel",2002,6029529,79.696,21905.59514
"Asia","Israel",2007,6426679,80.745,25523.2771
"Europe","Italy",1992,56840847,77.44,22013.64486
"Europe","Italy",1997,57479469,78.82,24675.02446
"Europe","Italy",2002,57926999,80.24,27968.09817
"Europe","Italy",2007,58147733,80.546,28569.7197
"Americas","Jamaica",1992,2378618,71.766,7404.923685
"Americas","Jamaica",1997,2531311,72.262,7121.924704
"Americas","Jamaica",2002,2664659,72.047,6994.774861
"Americas","Jamaica",2007,2780132,72.567,7320.880262
"Asia","Japan",1992,124329269,79.36,26824.89511
"Asia","Japan",1997,125956499,80.69,28816.58499
"Asia","Japan",2002,127065841,82,28604.5919
"Asia","Japan",2007,127467972,82.603,31656.06806
"Asia","Jordan",1992,3867409,68.015,3431.593647
"Asia","Jordan",1997,4526235,69.772,3645.379572
"Asia","Jordan",2002,5307470,71.263,3844.917194
"Asia","Jordan",2007,6053193,72.535,4519.461171
"Africa","Kenya",1992,25020539,59.285,1341.921721
"Africa","Kenya",1997,28263827,54.407,1360.485021
"Africa","Kenya",2002,31386842,50.992,1287.514732
"Africa","Kenya",2007,35610177,54.11,1463.249282
"Asia","Korea, Dem. Rep.",1992,20711375,69.978,3726.063507
"Asia","Korea, Dem. Rep.",1997,21585105,67.727,1690.756814
"Asia","Korea, Dem. Rep.",2002,22215365,66.662,1646.758151
"Asia","Korea, Dem. Rep.",2007,23301725,67.297,1593.06548
"Asia","Korea, Rep.",1992,43805450,72.244,12104.27872
"Asia","Korea, Rep.",1997,46173816,74.647,15993.52796
"Asia","Korea, Rep.",2002,47969150,77.045,19233.98818
"Asia","Korea, Rep.",2007,49044790,78.623,23348.13973
"Asia","Kuwait",1992,1418095,75.19,34932.91959
"Asia","Kuwait",1997,1765345,76.156,40300.61996
"Asia","Kuwait",2002,2111561,76.904,35110.10566
"Asia","Kuwait",2007,2505559,77.588,47306.98978
"Asia","Lebanon",1992,3219994,69.292,6890.806854
"Asia","Lebanon",1997,3430388,70.265,8754.96385
"Asia","Lebanon",2002,3677780,71.028,9313.93883
"Asia","Lebanon",2007,3921278,71.993,10461.05868
"Africa","Lesotho",1992,1803195,59.685,977.4862725
"Africa","Lesotho",1997,1982823,55.558,1186.147994
"Africa","Lesotho",2002,2046772,44.593,1275.184575
"Africa","Lesotho",2007,2012649,42.592,1569.331442
"Africa","Liberia",1992,1912974,40.802,636.6229191
"Africa","Liberia",1997,2200725,42.221,609.1739508
"Africa","Liberia",2002,2814651,43.753,531.4823679
"Africa","Liberia",2007,3193942,45.678,414.5073415
"Africa","Libya",1992,4364501,68.755,9640.138501
"Africa","Libya",1997,4759670,71.555,9467.446056
"Africa","Libya",2002,5368585,72.737,9534.677467
"Africa","Libya",2007,6036914,73.952,12057.49928
"Africa","Madagascar",1992,12210395,52.214,1040.67619
"Africa","Madagascar",1997,14165114,54.978,986.2958956
"Africa","Madagascar",2002,16473477,57.286,894.6370822
"Africa","Madagascar",2007,19167654,59.443,1044.770126
"Africa","Malawi",1992,10014249,49.42,563.2000145
"Africa","Malawi",1997,10419991,47.495,692.2758103
"Africa","Malawi",2002,11824495,45.009,665.4231186
"Africa","Malawi",2007,13327079,48.303,759.3499101
"Asia","Malaysia",1992,18319502,70.693,7277.912802
"Asia","Malaysia",1997,20476091,71.938,10132.90964
"Asia","Malaysia",2002,22662365,73.044,10206.97794
"Asia","Malaysia",2007,24821286,74.241,12451.6558
"Africa","Mali",1992,8416215,48.388,739.014375
"Africa","Mali",1997,9384984,49.903,790.2579846
"Africa","Mali",2002,10580176,51.818,951.4097518
"Africa","Mali",2007,12031795,54.467,1042.581557
"Africa","Mauritania",1992,2119465,58.333,1361.369784
"Africa","Mauritania",1997,2444741,60.43,1483.136136
"Africa","Mauritania",2002,2828858,62.247,1579.019543
"Africa","Mauritania",2007,3270065,64.164,1803.151496
"Africa","Mauritius",1992,1096202,69.745,6058.253846
"Africa","Mauritius",1997,1149818,70.736,7425.705295
"Africa","Mauritius",2002,1200206,71.954,9021.815894
"Africa","Mauritius",2007,1250882,72.801,10956.99112
"Americas","Mexico",1992,88111030,71.455,9472.384295
"Americas","Mexico",1997,95895146,73.67,9767.29753
"Americas","Mexico",2002,102479927,74.902,10742.44053
"Americas","Mexico",2007,108700891,76.195,11977.57496
"Asia","Mongolia",1992,2312802,61.271,1785.402016
"Asia","Mongolia",1997,2494803,63.625,1902.2521
"Asia","Mongolia",2002,2674234,65.033,2140.739323
"Asia","Mongolia",2007,2874127,66.803,3095.772271
"Europe","Montenegro",1992,621621,75.435,7003.339037
"Europe","Montenegro",1997,692651,75.445,6465.613349
"Europe","Montenegro",2002,720230,73.981,6557.194282
"Europe","Montenegro",2007,684736,74.543,9253.896111
"Africa","Morocco",1992,25798239,65.393,2948.047252
"Africa","Morocco",1997,28529501,67.66,2982.101858
"Africa","Morocco",2002,31167783,69.615,3258.495584
"Africa","Morocco",2007,33757175,71.164,3820.17523
"Africa","Mozambique",1992,13160731,44.284,410.8968239
"Africa","Mozambique",1997,16603334,46.344,472.3460771
"Africa","Mozambique",2002,18473780,44.026,633.6179466
"Africa","Mozambique",2007,19951656,42.082,823.6856205
"Asia","Myanmar",1992,40546538,59.32,347
"Asia","Myanmar",1997,43247867,60.328,415
"Asia","Myanmar",2002,45598081,59.908,611
"Asia","Myanmar",2007,47761980,62.069,944
"Africa","Namibia",1992,1554253,61.999,3804.537999
"Africa","Namibia",1997,1774766,58.909,3899.52426
"Africa","Namibia",2002,1972153,51.479,4072.324751
"Africa","Namibia",2007,2055080,52.906,4811.060429
"Asia","Nepal",1992,20326209,55.727,897.7403604
"Asia","Nepal",1997,23001113,59.426,1010.892138
"Asia","Nepal",2002,25873917,61.34,1057.206311
"Asia","Nepal",2007,28901790,63.785,1091.359778
"Europe","Netherlands",1992,15174244,77.42,26790.94961
"Europe","Netherlands",1997,15604464,78.03,30246.13063
"Europe","Netherlands",2002,16122830,78.53,33724.75778
"Europe","Netherlands",2007,16570613,79.762,36797.93332
"Oceania","New Zealand",1992,3437674,76.33,18363.32494
"Oceania","New Zealand",1997,3676187,77.55,21050.41377
"Oceania","New Zealand",2002,3908037,79.11,23189.80135
"Oceania","New Zealand",2007,4115771,80.204,25185.00911
"Americas","Nicaragua",1992,4017939,65.843,2170.151724
"Americas","Nicaragua",1997,4609572,68.426,2253.023004
"Americas","Nicaragua",2002,5146848,70.836,2474.548819
"Americas","Nicaragua",2007,5675356,72.899,2749.320965
"Africa","Niger",1992,8392818,47.391,581.182725
"Africa","Niger",1997,9666252,51.313,580.3052092
"Africa","Niger",2002,11140655,54.496,601.0745012
"Africa","Niger",2007,12894865,56.867,619.6768924
"Africa","Nigeria",1992,93364244,47.472,1619.848217
"Africa","Nigeria",1997,106207839,47.464,1624.941275
"Africa","Nigeria",2002,119901274,46.608,1615.286395
"Africa","Nigeria",2007,135031164,46.859,2013.977305
"Europe","Norway",1992,4286357,77.32,33965.66115
"Europe","Norway",1997,4405672,78.32,41283.16433
"Europe","Norway",2002,4535591,79.05,44683.97525
"Europe","Norway",2007,4627926,80.196,49357.19017
"Asia","Oman",1992,1915208,71.197,18616.70691
"Asia","Oman",1997,2283635,72.499,19702.05581
"Asia","Oman",2002,2713462,74.193,19774.83687
"Asia","Oman",2007,3204897,75.64,22316.19287
"Asia","Pakistan",1992,120065004,60.838,1971.829464
"Asia","Pakistan",1997,135564834,61.818,2049.350521
"Asia","Pakistan",2002,153403524,63.61,2092.712441
"Asia","Pakistan",2007,169270617,65.483,2605.94758
"Americas","Panama",1992,2484997,72.462,6618.74305
"Americas","Panama",1997,2734531,73.738,7113.692252
"Americas","Panama",2002,2990875,74.712,7356.031934
"Americas","Panama",2007,3242173,75.537,9809.185636
"Americas","Paraguay",1992,4483945,68.225,4196.411078
"Americas","Paraguay",1997,5154123,69.4,4247.400261
"Americas","Paraguay",2002,5884491,70.755,3783.674243
"Americas","Paraguay",2007,6667147,71.752,4172.838464
"Americas","Peru",1992,22430449,66.458,4446.380924
"Americas","Peru",1997,24748122,68.386,5838.347657
"Americas","Peru",2002,26769436,69.906,5909.020073
"Americas","Peru",2007,28674757,71.421,7408.905561
"Asia","Philippines",1992,67185766,66.458,2279.324017
"Asia","Philippines",1997,75012988,68.564,2536.534925
"Asia","Philippines",2002,82995088,70.303,2650.921068
"Asia","Philippines",2007,91077287,71.688,3190.481016
"Europe","Poland",1992,38370697,70.99,7738.881247
"Europe","Poland",1997,38654957,72.75,10159.58368
"Europe","Poland",2002,38625976,74.67,12002.23908
"Europe","Poland",2007,38518241,75.563,15389.92468
"Europe","Portugal",1992,9927680,74.86,16207.26663
"Europe","Portugal",1997,10156415,75.97,17641.03156
"Europe","Portugal",2002,10433867,77.29,19970.90787
"Europe","Portugal",2007,10642836,78.098,20509.64777
"Americas","Puerto Rico",1992,3585176,73.911,14641.58711
"Americas","Puerto Rico",1997,3759430,74.917,16999.4333
"Americas","Puerto Rico",2002,3859606,77.778,18855.60618
"Americas","Puerto Rico",2007,3942491,78.746,19328.70901
"Africa","Reunion",1992,622191,73.615,6101.255823
"Africa","Reunion",1997,684810,74.772,6071.941411
"Africa","Reunion",2002,743981,75.744,6316.1652
"Africa","Reunion",2007,798094,76.442,7670.122558
"Europe","Romania",1992,22797027,69.36,6598.409903
"Europe","Romania",1997,22562458,69.72,7346.547557
"Europe","Romania",2002,22404337,71.322,7885.360081
"Europe","Romania",2007,22276056,72.476,10808.47561
"Africa","Rwanda",1992,7290203,23.599,737.0685949
"Africa","Rwanda",1997,7212583,36.087,589.9445051
"Africa","Rwanda",2002,7852401,43.413,785.6537648
"Africa","Rwanda",2007,8860588,46.242,863.0884639
"Africa","Sao Tome and Principe",1992,125911,62.742,1428.777814
"Africa","Sao Tome and Principe",1997,145608,63.306,1339.076036
"Africa","Sao Tome and Principe",2002,170372,64.337,1353.09239
"Africa","Sao Tome and Principe",2007,199579,65.528,1598.435089
"Asia","Saudi Arabia",1992,16945857,68.768,24841.61777
"Asia","Saudi Arabia",1997,21229759,70.533,20586.69019
"Asia","Saudi Arabia",2002,24501530,71.626,19014.54118
"Asia","Saudi Arabia",2007,27601038,72.777,21654.83194
"Africa","Senegal",1992,8307920,58.196,1367.899369
"Africa","Senegal",1997,9535314,60.187,1392.368347
"Africa","Senegal",2002,10870037,61.6,1519.635262
"Africa","Senegal",2007,12267493,63.062,1712.472136
"Europe","Serbia",1992,9826397,71.659,9325.068238
"Europe","Serbia",1997,10336594,72.232,7914.320304
"Europe","Serbia",2002,10111559,73.213,7236.075251
"Europe","Serbia",2007,10150265,74.002,9786.534714
"Africa","Sierra Leone",1992,4260884,38.333,1068.696278
"Africa","Sierra Leone",1997,4578212,39.897,574.6481576
"Africa","Sierra Leone",2002,5359092,41.012,699.489713
"Africa","Sierra Leone",2007,6144562,42.568,862.5407561
"Asia","Singapore",1992,3235865,75.788,24769.8912
"Asia","Singapore",1997,3802309,77.158,33519.4766
"Asia","Singapore",2002,4197776,78.77,36023.1054
"Asia","Singapore",2007,4553009,79.972,47143.17964
"Europe","Slovak Republic",1992,5302888,71.38,9498.467723
"Europe","Slovak Republic",1997,5383010,72.71,12126.23065
"Europe","Slovak Republic",2002,5410052,73.8,13638.77837
"Europe","Slovak Republic",2007,5447502,74.663,18678.31435
"Europe","Slovenia",1992,1999210,73.64,14214.71681
"Europe","Slovenia",1997,2011612,75.13,17161.10735
"Europe","Slovenia",2002,2011497,76.66,20660.01936
"Europe","Slovenia",2007,2009245,77.926,25768.25759
"Africa","Somalia",1992,6099799,39.658,926.9602964
"Africa","Somalia",1997,6633514,43.795,930.5964284
"Africa","Somalia",2002,7753310,45.936,882.0818218
"Africa","Somalia",2007,9118773,48.159,926.1410683
"Africa","South Africa",1992,39964159,61.888,7225.069258
"Africa","South Africa",1997,42835005,60.236,7479.188244
"Africa","South Africa",2002,44433622,53.365,7710.946444
"Africa","South Africa",2007,43997828,49.339,9269.657808
"Europe","Spain",1992,39549438,77.57,18603.06452
"Europe","Spain",1997,39855442,78.77,20445.29896
"Europe","Spain",2002,40152517,79.78,24835.47166
"Europe","Spain",2007,40448191,80.941,28821.0637
"Asia","Sri Lanka",1992,17587060,70.379,2153.739222
"Asia","Sri Lanka",1997,18698655,70.457,2664.477257
"Asia","Sri Lanka",2002,19576783,70.815,3015.378833
"Asia","Sri Lanka",2007,20378239,72.396,3970.095407
"Africa","Sudan",1992,28227588,53.556,1492.197043
"Africa","Sudan",1997,32160729,55.373,1632.210764
"Africa","Sudan",2002,37090298,56.369,1993.398314
"Africa","Sudan",2007,42292929,58.556,2602.394995
"Africa","Swaziland",1992,962344,58.474,3553.0224
"Africa","Swaziland",1997,1054486,54.289,3876.76846
"Africa","Swaziland",2002,1130269,43.869,4128.116943
"Africa","Swaziland",2007,1133066,39.613,4513.480643
"Europe","Sweden",1992,8718867,78.16,23880.01683
"Europe","Sweden",1997,8897619,79.39,25266.59499
"Europe","Sweden",2002,8954175,80.04,29341.63093
"Europe","Sweden",2007,9031088,80.884,33859.74835
"Europe","Switzerland",1992,6995447,78.03,31871.5303
"Europe","Switzerland",1997,7193761,79.37,32135.32301
"Europe","Switzerland",2002,7361757,80.62,34480.95771
"Europe","Switzerland",2007,7554661,81.701,37506.41907
"Asia","Syria",1992,13219062,69.249,3340.542768
"Asia","Syria",1997,15081016,71.527,4014.238972
"Asia","Syria",2002,17155814,73.053,4090.925331
"Asia","Syria",2007,19314747,74.143,4184.548089
"Asia","Taiwan",1992,20686918,74.26,15215.6579
"Asia","Taiwan",1997,21628605,75.25,20206.82098
"Asia","Taiwan",2002,22454239,76.99,23235.42329
"Asia","Taiwan",2007,23174294,78.4,28718.27684
